     The American Express         4 rounds, wind 5-16 km/h
     WM Phoenix Open              4 rounds, wind 8-18 km/h
     Farmers Insurance Open       4 rounds, wind 10-12 km/h
     AT&T Pebble Beach Pro-Am     3 rounds, wind 18-22 km/h
     Sony Open in Hawaii          4 rounds, wind 20-27 km/h
     The Genesis Invitational     4 rounds, wind 5-17 km/h
     Arnold Palmer Invitational p 4 rounds, wind 12-16 km/h
     Cognizant Classic in The Pal 4 rounds, wind 15-17 km/h
     THE PLAYERS Championship     4 rounds, wind 16-35 km/h
     RBC Heritage                 4 rounds, wind 20-27 km/h
     Wyndham Championship         4 rounds, wind 12-20 km/h
     Masters Tournament           4 rounds, wind 17-27 km/h
     The Sentry                   4 rounds, wind 12-30 km/h
     THE CJ CUP Byron Nelson      4 rounds, wind 9-22 km/h
     Texas Children's Houston Ope 4 rounds, wind 16-20 km/h
     Charles Schwab Challenge     4 rounds, wind 9-17 km/h
     the Memorial Tournament pres 4 rounds, wind 24-36 km/h
     U.S. Open                    4 rounds, wind 10-16 km/h
     FedEx St. Jude Championship  4 rounds, wind 7-10 km/h
     BMW Championship             4 rounds, wind 9-17 km/h
     John Deere Classic           4 rounds, wind 15-18 km/h
     RBC Canadian Open            4 rounds, wind 22-29 km/h
     PGA Championship             4 rounds, wind 17-21 km/h
     Travelers Championship       4 rounds, wind 8-14 km/h
     Valero Texas Open            4 rounds, wind 18-22 km/h
     Shriners Children's Open     4 rounds, wind 14-52 km/h
     Sanderson Farms Championship 4 rounds, wind 15-24 km/h
     TOUR Championship            4 rounds, wind 9-16 km/h
     PGA TOUR Q-School presented  4 rounds, wind 11-25 km/h
     World Wide Technology Champi 4 rounds, wind 11-15 km/h
     Procore Championship         4 rounds, wind 15-17 km/h
     Valspar Championship         4 rounds, wind 12-20 km/h
     Hero World Challenge         4 rounds, wind 13-21 km/h
     Wells Fargo Championship     4 rounds, wind 17-26 km/h
     Puerto Rico Open             4 rounds, wind 18-27 km/h
     The RSM Classic              4 rounds, wind 7-20 km/h
     ISCO Championship            4 rounds, wind 11-16 km/h
     Corales Puntacana Championsh 4 rounds, wind 19-23 km/h
     Rocket Mortgage Classic      4 rounds, wind 20-28 km/h
     3M Open                      4 rounds, wind 17-26 km/h
     ZOZO CHAMPIONSHIP            4 rounds, wind 14-22 km/h
     Butterfield Bermuda Champion 4 rounds, wind 41-51 km/h
     Mexico Open at Vidanta       4 rounds, wind 15-18 km/h
     Genesis Scottish Open        4 rounds, wind 13-14 km/h
     Myrtle Beach Classic         4 rounds, wind 12-27 km/h
     Black Desert Championship    4 rounds, wind 10-14 km/h
     The American Express         4 rounds, wind 5-16 km/h
     WM Phoenix Open              4 rounds, wind 8-18 km/h
     Farmers Insurance Open       4 rounds, wind 10-12 km/h
     AT&T Pebble Beach Pro-Am     4 rounds, wind 18-23 km/h
     Sony Open in Hawaii          4 rounds, wind 20-27 km/h
     The Genesis Invitational     4 rounds, wind 5-17 km/h
     Arnold Palmer Invitational p 4 rounds, wind 12-16 km/h
     Cognizant Classic in The Pal 4 rounds, wind 15-17 km/h
     THE PLAYERS Championship     4 rounds, wind 16-35 km/h
     RBC Heritage                 4 rounds, wind 20-27 km/h
     Wyndham Championship         4 rounds, wind 12-20 km/h
     Masters Tournament           4 rounds, wind 17-27 km/h
     The Sentry                   4 rounds, wind 12-30 km/h
     THE CJ CUP Byron Nelson      4 rounds, wind 9-22 km/h
     Texas Children's Houston Ope 4 rounds, wind 16-20 km/h
     Charles Schwab Challenge     4 rounds, wind 9-17 km/h
     the Memorial Tournament pres 4 rounds, wind 24-36 km/h
     U.S. Open                    4 rounds, wind 10-16 km/h
     FedEx St. Jude Championship  4 rounds, wind 7-10 km/h
     BMW Championship             4 rounds, wind 9-17 km/h
     John Deere Classic           4 rounds, wind 15-18 km/h
     RBC Canadian Open            4 rounds, wind 22-29 km/h
     PGA Championship             4 rounds, wind 17-21 km/h
     Travelers Championship       4 rounds, wind 8-14 km/h
     Valero Texas Open            4 rounds, wind 18-22 km/h
     Sanderson Farms Championship 4 rounds, wind 15-24 km/h
     TOUR Championship            4 rounds, wind 9-16 km/h
     PGA TOUR Q-School presented  4 rounds, wind 11-25 km/h
     World Wide Technology Champi 4 rounds, wind 11-15 km/h
     Procore Championship         4 rounds, wind 15-17 km/h
     Valspar Championship         4 rounds, wind 12-20 km/h
     Hero World Challenge         4 rounds, wind 13-21 km/h
     Truist Championship          4 rounds, wind 12-17 km/h
     Puerto Rico Open             4 rounds, wind 18-27 km/h
     The RSM Classic              4 rounds, wind 7-20 km/h
     ISCO Championship            4 rounds, wind 11-16 km/h
     Corales Puntacana Championsh 4 rounds, wind 19-23 km/h
     Rocket Classic               4 rounds, wind 12-18 km/h
     3M Open                      4 rounds, wind 17-26 km/h
     Baycurrent Classic           4 rounds, wind 9-29 km/h
     Butterfield Bermuda Champion 4 rounds, wind 41-51 km/h
     Mexico Open at VidantaWorld  4 rounds, wind 15-18 km/h
     Genesis Scottish Open        4 rounds, wind 13-14 km/h
     ONEflight Myrtle Beach Class 4 rounds, wind 12-27 km/h
     Bank of Utah Championship    4 rounds, wind 9-20 km/h
     The American Express         4 rounds, wind 5-16 km/h
     WM Phoenix Open              4 rounds, wind 8-18 km/h
     Farmers Insurance Open       4 rounds, wind 10-12 km/h
